Generated 1023 waypoints.

[285] x=45.86, y=283.96, z=0.00, yaw=-90.00
[286] x=41.86, y=283.96, z=0.00, yaw=90.00
[287] x=45.86, y=280.96, z=0.00, yaw=-90.00
[288] x=41.86, y=280.96, z=0.00, yaw=90.00
[289] x=45.86, y=277.96, z=0.00, yaw=-90.00
[290] x=41.86, y=277.96, z=0.00, yaw=90.00
[291] x=45.86, y=274.96, z=0.00, yaw=-90.00
[292] x=41.86, y=274.96, z=0.00, yaw=90.00
[293] x=45.86, y=271.96, z=0.00, yaw=-90.00
[294] x=41.86, y=271.96, z=0.00, yaw=90.00
[295] x=45.86, y=268.96, z=0.00, yaw=-90.00
[296] x=41.86, y=268.96, z=0.00, yaw=90.00
[297] x=45.86, y=265.96, z=0.00, yaw=-90.00
[298] x=41.86, y=265.96, z=0.00, yaw=90.00
[299] x=45.86, y=262.96, z=0.00, yaw=-90.00
[300] x=41.86, y=262.96, z=0.00, yaw=90.00
[301] x=45.86, y=259.96, z=0.00, yaw=-90.00
[302] x=41.86, y=259.96, z=0.00, yaw=90.00
[303] x=45.86, y=256.96, z=0.00, yaw=-90.00
[304] x=41.86, y=256.96, z=0.00, yaw=90.00
[305] x=45.86, y=253.96, z=0.00, yaw=-90.00
[306] x=41.86, y=253.96, z=0.00, yaw=90.00
[307] x=45.86, y=250.96, z=0.00, yaw=-90.00
[308] x=41.86, y=250.96, z=0.00, yaw=90.00
[309] x=45.86, y=247.96, z=0.00, yaw=-90.00
[310] x=41.86, y=247.96, z=0.00, yaw=90.00
[311] x=136.15, y=199.16, z=0.00, yaw=-89.94
[312] x=136.19, y=196.39, z=0.00, yaw=-83.52
[313] x=136.85, y=194.26, z=0.00, yaw=-61.75
[314] x=138.25, y=192.50, z=0.00, yaw=-40.41
[315] x=139.99, y=191.68, z=0.00, yaw=-10.34
[316] x=142.63, y=191.62, z=0.00, yaw=0.03
[317] x=136.12, y=230.18, z=0.00, yaw=-89.94
[318] x=132.12, y=230.18, z=0.00, yaw=90.06
[319] x=136.12, y=227.18, z=0.00, yaw=-89.94
[320] x=132.12, y=227.18, z=0.00, yaw=90.06
